"","x","y","order","group","region","state.name"
"95",-115.055786,27.8623050000001,40,"3.3",3,"Baja California Sur"
"96",-114.501617,27.7727169999999,41,"3.3",3,"Baja California Sur"
"97",-114.318374,27.878655,42,"3.3",3,"Baja California Sur"
"98",-114.101113,27.603612,43,"3.3",3,"Baja California Sur"
"99",-113.929588,27.752423,44,"3.3",3,"Baja California Sur"
"100",-113.865319,27.5461610000002,45,"3.3",3,"Baja California Sur"
"101",-113.96083,27.866945,46,"3.3",3,"Baja California Sur"
"102",-113.974487,27.7424930000001,47,"3.3",3,"Baja California Sur"
"103",-114.183892,27.7500000000001,48,"3.3",3,"Baja California Sur"
"104",-114.149169,27.9527070000001,49,"3.3",3,"Baja California Sur"
"105",-90.389305,20.811135,1,"4.1",4,"Campeche"
"106",-90.3903579999999,20.52646,2,"4.1",4,"Campeche"
"107",-90.0103079999999,20.4674209999999,3,"4.1",4,"Campeche"
"108",-89.0204629999999,19.2613920000001,4,"4.1",4,"Campeche"
"109",-89.1468889999999,17.8145870000001,5,"4.1",4,"Campeche"
"110",-90.9820329999999,17.8151110000001,6,"4.1",4,"Campeche"
"111",-91.4839009999999,18.072829,7,"4.1",4,"Campeche"
"112",-91.712799,17.890831,8,"4.1",4,"Campeche"
"113",-92.425713,18.514651,9,"4.1",4,"Campeche"
"114",-92.465698,18.6512510000001,10,"4.1",4,"Campeche"
"115",-91.986526,18.7004170000001,11,"4.1",4,"Campeche"
"116",-91.8554159999999,18.6101380000001,12,"4.1",4,"Campeche"
"117",-92.0418079999999,18.5218050000001,13,"4.1",4,"Campeche"
"118",-91.5568079999999,18.440971,14,"4.1",4,"Campeche"
"119",-91.309028,18.5579160000001,15,"4.1",4,"Campeche"
"120",-91.222359,18.7518060000002,16,"4.1",4,"Campeche"
"121",-91.3629149999999,18.877916,17,"4.1",4,"Campeche"
"122",-91.0995859999999,19.0312490000001,18,"4.1",4,"Campeche"
"123",-91.4979179999999,18.789861,19,"4.1",4,"Campeche"
"124",-90.7604139999999,19.3054150000001,20,"4.1",4,"Campeche"
"125",-90.7070849999999,19.675693,21,"4.1",4,"Campeche"
"126",-90.4531939999999,19.951806,22,"4.1",4,"Campeche"
"127",-90.389305,20.811135,23,"4.1",4,"Campeche"
"128",-93.2198569999999,17.953781,1,"5.1",5,"Chiapas"
"129",-92.9775389999999,17.8666310000002,2,"5.1",5,"Chiapas"
"130",-93.0511099999999,17.6857500000002,3,"5.1",5,"Chiapas"
"131",-92.7505099999999,17.358049,4,"5.1",5,"Chiapas"
"132",-92.1767579999999,17.8434910000001,5,"5.1",5,"Chiapas"
"133",-91.7984079999999,17.8658700000001,6,"5.1",5,"Chiapas"
"134",-91.6377859999999,17.4629889999999,7,"5.1",5,"Chiapas"
"135",-91.362558,17.3189120000001,8,"5.1",5,"Chiapas"
"136",-91.424607,17.2211800000001,9,"5.1",5,"Chiapas"
"137",-90.3855669999999,16.4089210000001,10,"5.1",5,"Chiapas"
"138",-90.4410159999999,16.0703810000001,11,"5.1",5,"Chiapas"
